Date,AdjClose
9/23/14,97.873379
9/24/14,97.024711
9/25/14,93.324902
9/26/14,96.071151
9/29/14,95.460874
9/30/14,96.071151
10/1/14,94.574063
10/2/14,95.260627
10/3/14,94.993631
10/6/14,94.993631
10/7/14,94.164032
10/8/14,96.118832
10/9/14,96.328609
10/10/14,96.052083
10/13/14,95.174803
10/14/14,94.164032
10/15/14,93.010225
10/16/14,91.78967
10/17/14,93.134185
10/20/14,95.127129
10/21/14,97.711275
10/22/14,98.207123
10/23/14,99.961677
10/24/14,100.333565
10/27/14,100.228673
10/28/14,101.782973
10/29/14,102.355107
10/30/14,102.011832
10/31/14,102.98446
11/3/14,104.319445
11/4/14,103.556595
11/5/14,103.804522
11/6/14,104.101405
11/7/14,104.398296
11/10/14,104.22591
11/11/14,105.0591
11/12/14,106.54353
11/13/14,108.04711
11/14/14,109.349575
11/17/14,109.167611
11/18/14,110.585002
11/19/14,109.818844
11/20/14,111.389462
11/21/14,111.542697
11/24/14,113.611314
11/25/14,112.624889
11/26/14,113.965663
11/28/14,113.898625
12/1/14,110.201923
12/2/14,109.780535
12/3/14,111.025541
12/4/14,110.604153
12/5/14,110.134885
12/8/14,107.64488
12/9/14,109.292116
12/10/14,107.213913
12/11/14,106.897879
12/12/14,105.087837
12/15/14,103.651295
12/16/14,102.233904
12/17/14,104.781375
12/18/14,107.884304
12/19/14,107.051107
12/22/14,108.162036
12/23/14,107.778957
12/24/14,107.27138
12/26/14,109.167611
12/29/14,109.091001
12/30/14,107.759799
12/31/14,105.710333
1/2/15,104.704758
1/5/15,101.755057
1/6/15,101.764636
1/7/15,103.191599
1/8/15,107.156454
1/9/15,107.27138
1/12/15,104.62814
1/13/15,105.557105
1/14/15,105.154875
1/15/15,102.300942
1/16/15,101.506054
1/20/15,104.120563
1/21/15,104.915452
1/22/15,107.64488
1/23/15,108.200345
1/26/15,108.315263
1/27/15,104.522793
1/28/15,110.431768
1/29/15,113.869895
1/30/15,112.203509
2/2/15,113.611314
2/3/15,113.630472
2/4/15,114.50197
2/5/15,115.319223
2/6/15,114.348132
2/9/15,115.107697
2/10/15,117.319084
2/11/15,120.0689
2/12/15,121.588031
2/13/15,122.184148
2/17/15,122.905254
2/18/15,123.760965
2/19/15,123.501363
2/20/15,124.510914
2/23/15,127.876074
2/24/15,127.078049
2/25/15,123.828261
2/26/15,125.395469
2/27/15,123.510987
3/2/15,124.116706
3/3/15,124.376308
3/4/15,123.587892
3/5/15,121.539962
3/6/15,121.722637
3/9/15,122.241834
3/10/15,119.71316
3/11/15,117.530609
3/12/15,119.655466
3/13/15,118.828598
3/16/15,120.136203
3/17/15,122.145688
3/18/15,123.520597
3/19/15,122.587966
3/20/15,121.049608
3/23/15,122.309137
3/24/15,121.809174
3/25/15,118.626689
3/26/15,119.453558
3/27/15,118.5017
3/30/15,121.501502
3/31/15,119.63624
4/1/15,119.463174
4/2/15,120.491951
4/6/15,122.443743
4/7/15,121.155371
4/8/15,120.761163
4/9/15,121.684177
4/10/15,122.203374
4/13/15,121.963006
4/14/15,121.434199
4/15/15,121.895703
4/16/15,121.309203
4/17/15,119.943911
4/20/15,122.684112
4/21/15,122.020699
4/22/15,123.664812
4/23/15,124.674363
4/24/15,125.260863
4/27/15,127.539552
4/28/15,125.530074
4/29/15,123.684046
4/30/15,120.328503
5/1/15,123.9821
5/4/15,123.741732
5/5/15,120.953462
5/6/15,120.193897
5/7/15,120.93733
5/8/15,123.215888
5/11/15,121.960747
5/12/15,121.526279
5/13/15,121.661447
5/14/15,124.499984
5/15/15,124.326203
5/18/15,125.697198
5/19/15,125.581344
5/20/15,125.571679
5/21/15,126.855783
5/22/15,127.966091
5/26/15,125.146861
5/27/15,127.483346
5/28/15,127.232324
5/29/15,125.784088
6/1/15,126.03511
6/2/15,125.475139
6/3/15,125.629606
6/4/15,124.895839
6/5/15,124.210334
6/8/15,123.389676
6/9/15,123.022785
6/10/15,124.432408
6/11/15,124.152407
6/12/15,122.781413
6/15/15,122.54004
6/16/15,123.196574
6/17/15,122.906931
6/18/15,123.46691
6/19/15,122.231083
6/22/15,123.206231
6/23/15,122.646244
6/24/15,123.688976
6/25/15,123.100026
6/26/15,122.375908
6/29/15,120.232518
6/30/15,121.101461
7/1/15,122.231083
7/2/15,122.076609
7/6/15,121.65179
7/7/15,121.352491
7/8/15,118.340158
7/9/15,115.926432
7/10/15,119.025655
7/13/15,121.323527
7/14/15,121.27525
7/15/15,122.443492
7/16/15,124.075166
7/17/15,125.146861
7/20/15,127.512324
7/21/15,126.23787
7/22/15,120.898709
7/23/15,120.840782
7/24/15,120.203555
7/27/15,118.533253
7/28/15,119.122203
7/29/15,118.745662
7/30/15,118.147063
7/31/15,117.113989
8/3/15,114.352685
8/4/15,110.683819
8/5/15,111.417594
8/6/15,111.66005
8/7/15,112.038295
8/10/15,116.111714
8/11/15,110.069479
8/12/15,111.766735
8/13/15,111.679451
8/14/15,112.465036
8/17/15,113.628873
8/18/15,112.988761
8/19/15,111.543671
8/20/15,109.2548
8/21/15,102.572461
8/24/15,100.012029
8/25/15,100.613338
8/26/15,106.384013
8/27/15,109.516659
8/28/15,109.87551
8/31/15,109.361485
9/1/15,104.473386
9/2/15,108.954138
9/3/15,107.043519
9/4/15,105.976666
9/8/15,108.925043
9/9/15,106.830148
9/10/15,109.177209
9/11/15,110.76778
9/14/15,111.834625
9/15/15,112.775391
9/16/15,112.901478
9/17/15,110.486519
9/18/15,110.030684
9/21/15,111.73764
9/22/15,109.982195
9/23/15,110.874465
9/24/15,111.533971
9/25/15,111.25271
9/28/15,109.05113
9/29/15,105.772996
9/30/15,106.975629
10/1/15,106.277328
10/2/15,107.053212
10/5/15,107.441158
10/6/15,107.955183
10/7/15,107.441158
10/8/15,106.199737
10/9/15,108.740775
10/12/15,108.236443
10/13/15,108.420719
10/14/15,106.888337
10/15/15,108.488609
10/16/15,107.693323
10/19/15,108.36253
10/20/15,110.341039
10/21/15,110.331345
10/22/15,112.018901
